Id;Category;Tweet;Emotion;VB;WRB;IN;VBP;JJ;WP;VBZ;MD;NN;TO;PRP;RB
1E+018;c3;@vegermta I just think she don't een care for me if she do that. Sex and allat ain't that serious for real. Sometim… https://t.co/pYnpGrfBQx;blame;1;0;3;1;3;0;1;0;6;0;3;1
1E+018;c7;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…;depression;0;0;2;1;2;0;0;0;9;0;0;1
1E+018;c7;"RT @SimonBruni: If remainers want Freedom of Movement

If EFTA/EEA leavers want FoM

If EU27 + EFTA citizens + Brits abroad want FoM

If mo…";information;0;0;5;3;2;0;0;0;9;0;0;1
1E+018;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…;support;4;1;2;1;5;0;0;0;5;1;1;0
1E+018;c7;"RT @sarahllfit: I can’t thank everyone enough for all of the love &amp; attention i’ve gotten lately. I never thought my discovery would end up…";thankfulness;2;0;2;1;3;0;0;2;10;0;0;2
1E+018;c7;RT @Magnusbaene_: quick correction: this is a Netflix fansite, not Netflix itself! still go vote! #PickUpShadowhunters #SaveShadowhunters @…;information;1;0;0;1;3;0;1;0;5;0;1;2
1E+018;c7;"RT @kaibasyugi: ghshgs based from @wrongbrodinsons tweet !!! https://t.co/d7HrbCfw9f

;;w    ;; ^this tweet made me soft i'm sorry https://…";information;0;0;1;0;2;0;0;0;6;0;1;0
1E+018;c7;Do these rethuglicans go out of their way to look for cruel and brutal ways to abuse animals? @RepChrisStewart is a… https://t.co/7ndkMZigz2;abuse;4;0;3;1;2;0;1;0;4;2;0;0
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";information;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c7;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…;hopelessness;3;0;4;2;1;1;0;1;6;1;3;1
1E+018;c4;RT @xty___: I don't care about an argument, I'll still be here tomorrow for you.;support;1;0;2;0;0;0;0;0;6;0;1;2
1E+018;c7;"Thank you @simonfromharlow for sharing your inspiring story to help others.
#ItsOkNotToBeOk and with help people re… https://t.co/UwhhtKBBm5";thankfulness;1;0;2;0;1;0;0;0;8;1;1;0
1E+018;c1;I would like to show you something but no one cares 😬;hopelessness;2;0;0;1;0;0;0;1;3;1;1;0
1E+018;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…;information;0;0;2;0;0;0;0;0;18;0;0;0
1E+018;c7;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…;anger;2;0;0;1;1;1;0;0;6;1;1;1
1E+018;c3;RT @EllaDecember: “I cannot come and kill myself” is a saying to live by, honestly.;disgust;3;0;1;0;0;0;1;1;4;1;1;1
1E+018;c7;RT @VictorShikhman: Hi, I'm Moldovan-American. You don't know where Moldova is. No one does. I speak Russian, so people assume I'm Russian.…;anger;1;1;0;2;2;0;1;0;10;0;1;1
1E+018;c5;RT @andymoz78: Brexit is dead, even the Brexiter admit so. So where are the mass protests, the civil unrest? Could it be that the threats w…;guilt;1;1;1;2;2;0;1;1;7;0;1;3
1E+018;c7;"RT @BigBoyler: To all the lovely folk starting their ‘Leaving Cert’ in Ireland today - Huge love &amp; luck. Worry not, this is just the end of…";thankfulness;0;0;1;1;3;0;1;0;10;1;0;2
1E+018;c4;RT @marianaavilal: I genuinely don’t understand people who harass actors, artists, writers, etc. online because they made something they do…;anger;0;0;0;2;0;1;1;0;11;0;2;0
1E+018;c7;"RT @breadnap: The storms
Broke her hope
The lightning
Burned her dreams
The darkness
Took over her joy
But she’s the rainbow
At the end of…";information;0;0;1;2;0;0;1;0;8;0;2;0
1E+018;c7;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…;hopelessness;3;0;4;2;1;1;0;1;6;1;3;1
1E+018;c4;RT @marianaavilal: I genuinely don’t understand people who harass actors, artists, writers, etc. online because they made something they do…;anger;0;0;0;2;0;1;1;0;11;0;2;0
1E+018;c7;RT @JayyPhelps: If we tongue kiss we're having sex I don't care, I don't care..;information;0;0;1;4;0;0;0;0;5;0;1;0
1E+018;c7;"RT @LuxCat5: #thursdayvibes #goodmorning
Another #TwitterWorld #polls
I know some of us are outgoing and some just want to be alone...
I wo…";peacefulness;1;0;1;4;3;0;0;0;5;1;1;1
1E+018;c7;Back at work and all I want to do is clock back out and go home. Looks like nothing has been done all night again 🤨;guilt;3;0;2;1;1;0;1;0;6;1;0;3
1E+018;c1;RT @RobotThomas: The beginning and the end were simple. It was all the shit in the middle that got complicated.;anger;0;0;1;0;2;0;1;0;4;0;1;0
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";information;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";information;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c4;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…;anger;2;0;0;1;1;1;0;0;6;1;1;1
1E+018;c1;RT @naatcaat_: I graduate in 2 days n I'm lw depressed about it like now I gotta be an adult n shit wtf is this smh;hopelessness;1;0;3;0;2;0;2;0;10;0;1;2
1E+018;c7;"RT @astrosologic: Earth Signs: lmao everyone’s so fake, nobody ever asks me how I feel. No one even cares about me 

Someone: hey, are you…";disgust;2;1;1;2;3;0;1;0;8;0;2;3
1E+018;c7;RT @QGotNoRings: Y'all would make women orgasm more if you actively asked them what they want, what's working, what's not and how you can d…;information;5;1;1;2;0;3;0;2;1;0;4;1
1E+018;c4;Remember them tough days where i thought i could end it all 🙏🏾;peacefulness;2;1;0;1;1;0;0;1;2;0;2;0
1E+018;c4;why do you think that no one cares about you? am i a nobody then?;hopefulness;2;0;2;2;0;0;0;0;3;0;2;1
1E+018;c4;"RT @DothTheDoth: As your goth therapist, I urge you to get lost in the woods. I don't care where you go, that's between you &amp; the woods.";peacefulness;1;1;4;3;1;0;0;0;7;1;3;0
1E+018;c7;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb";anger;1;0;2;1;2;0;0;0;6;0;1;2
1E+018;c7;RT @iamsrk: A hectic tiring day, has a sublime end with Messi adding to it. Have a goodnight all…;happiness;1;0;1;0;2;0;0;0;7;1;1;0
1E+018;c7;RT @ombretae: I generally don't think y'all care about BTS' happiness if you don't want to see them fall in love and date/marry someone. Th…;anger;2;0;3;4;1;0;0;0;8;1;2;0
1E+018;c7;I'm #single and I really don't care.;sorrow;0;0;0;1;0;0;0;0;5;0;0;0
1E+018;c3;RT @iamblackbear: someone asked me how often i want to die today;guilt;2;1;0;1;0;0;1;0;2;1;1;1
1E+018;c7;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…;information;4;1;1;3;1;1;1;1;6;1;2;1
1E+018;c7;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb";anger;1;0;2;1;2;0;0;0;6;0;1;2
1E+018;c7;"Could you imagine if Judgment Day was just like an episode of Prank'd where God just strolls out at the end like, ""… https://t.co/qUU4VsKJs5";disgust;2;1;5;0;1;0;0;1;6;0;1;2
1E+018;c7;RT @utdxtra: Pogba: “We’re all brothers in front of God. When you're religious, it's like we're all brothers. And at the end of the day, we…;support;1;1;5;1;0;0;0;0;9;0;2;0
1E+018;c6;🗣 https://t.co/sbpYkd6dHo;information;0;0;0;0;0;0;0;0;1;0;0;0
1E+018;c7; @MaiaMitchell @dglambert @haydenbyerly @noahcent @cierraramirez @TheDannyNucci Hi I was won… https://t.co/aS3Teh2F61;information;0;0;0;1;0;0;0;0;3;0;0;0
1E+018;c7;Must be really nice. https://t.co/0Dgdq3xVhN;hopefulness;1;0;0;0;2;0;0;1;0;0;0;0
1E+018;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…;hopefulness;4;1;2;1;5;0;0;0;5;1;1;0
1E+018;c3;I just want to be able to sleep for 8 hours straight.;depression;3;0;1;0;0;0;0;0;3;2;0;1
1E+018;c7;RT @_Assshleeey: All you gotta do is hold it down on yo end, and all you gone get from me is realness.;support;2;0;2;1;2;0;2;0;1;0;4;0
1E+018;c1;RT @atiqah98: I miss you, but I know you don't care.;hopelessness;2;0;0;3;0;0;0;0;1;0;2;0
1E+018;c7;"RT @kikakhj: FM -2
What? Ah, cake? I ate a cake. I had a BD party before I came. I ate a sweet poteto cake. I don't really care much about…";information;1;0;1;3;3;1;0;0;14;0;0;0
1E+018;c3;"RT @austin_walker: there is a point while watching this video where you will say ""Okay, this is the end"" and it will be the halfway point.…";information;2;1;1;0;1;0;2;2;8;0;2;0
1E+018;c7;RT @spierlewis: it's literally such a mistake... they don't promote the show as is. how can they expect to keep people's interest for a YEA…;blame;2;1;3;1;2;0;1;1;4;1;3;0
1E+018;c3;@FLREB88 braver as in I cower in a corner rather than kill myself?;guilt;1;0;4;1;0;0;0;0;3;0;1;1
1E+018;c7;"RT @KanekiKen29: I don't care... ☕☕💀

DeviantArt is by Montenko ☕✌

#blackreaper #kaneki #Haise #tokyoghoulre #TokyoGhoulPics #TokyoGhoul #…";hopelessness;0;0;1;0;0;0;1;0;12;0;0;0
1E+018;c7;RT @HUNTYCHAN: this is kind of like a metaphor for men. the water is trash, and when you put it into a taller container it looks better and…;information;0;1;4;1;1;0;3;0;7;0;3;0
1E+018;c3;"RT @sarahllfit: I can’t thank everyone enough for all of the love &amp; attention i’ve gotten lately. I never thought my discovery would end up…";thankfulness;2;0;2;1;3;0;0;2;10;0;0;2
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";information;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c1;"WAIT....  Does this mean I'm @BuzzFeed Famous now?  😂😂  This is SO FLIPPING COOL!  😚💋 
Read ALL the way to the end.… https://t.co/zChfXIReSU";surprise;1;0;0;0;4;0;1;0;8;1;0;2
1E+018;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…;support;4;1;2;1;5;0;0;0;5;1;1;0
1E+018;c1;RT @Kmoulfa: Please don't DM me I've seen it before and I don't care https://t.co/UoQZF91meu;anger;1;0;0;1;3;0;0;0;2;0;2;0
1E+018;c1;@Kellogg181 I'm not praising hatred against anyone. Just don't bother me with your bs, atheists couldn't care less what you have to say.;disgust;2;0;2;2;1;1;0;0;5;1;2;2
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";information;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c1;guys im gna kill myself rn LIKE RIGHT FKN NOW;sorrow;1;0;1;1;1;0;0;0;4;0;1;1
1E+018;c3;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…;information;0;0;2;1;2;0;0;0;9;0;0;1
1E+018;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…;information;0;0;2;0;0;0;0;0;18;0;0;0
1E+018;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…;support;4;1;2;1;5;0;0;0;5;1;1;0
1E+018;c7;Nakakasakit na kayo. 😑 https://t.co/ezKiQ8XHrU;information;0;0;0;0;1;0;0;0;2;0;0;1
1E+018;c7;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…;anger;2;0;0;1;1;1;0;0;6;1;1;1
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";information;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c3;if i somehow end up getting diabetes or anything like that im just gonna kill myself cause fuck that shit;hopelessness;4;0;3;1;2;0;0;0;4;1;1;1
1E+018;c3;RT @blackpanjo69: I'm not selfish enough to kill myself but also not hopeful enough to want to continue living...;hopefulness;4;0;0;0;2;0;0;0;1;3;1;5
1E+018;c7;@kevin_sanchez95 Yess! I have a goal lol and I want to reach it by the end of the year;hopefulness;1;0;2;2;0;0;0;0;6;1;1;0
1E+018;c1;RT @atiqah98: I miss you, but I know you don't care.;sorrow;2;0;0;3;0;0;0;0;1;0;2;0
1E+018;c7;They don't. But they've been lying about it for years and now the options are to either admit that lie or double do… https://t.co/SWkYITZAci;disgust;1;0;3;4;0;0;1;0;4;1;2;1
1E+018;c3;"RT @atinukex: Honestly in Life, all that matters are the people you share it with. Friends &amp; Family should be cherished 💗 Nothing else mean…";thankfulness;1;0;3;2;1;0;0;1;7;0;2;0
1E+018;c2;"RT sarahrhfit: I can’t thank everyone enough for all of the love &amp; attention i’ve gotten lately. I never thought my… https://t.co/FUhWBsqtue";thankfulness;1;0;2;1;3;0;0;1;9;0;0;2
1E+018;c7;Waoooow HAHAHAHA https://t.co/isKRx8zyqz;happiness;0;0;0;0;0;0;0;0;2;0;0;0
1E+018;c7;@politico Why is someone wasting their time polling how favorable Giuliani is? No one cares, you people are pathetic!;disgust;1;1;1;2;1;0;2;0;6;0;1;0
1E+018;c7;"RT @DavidTylerPozz: What I learnt at last night's Crouch End Labour Party meeting
1) There's no antisemitism
2)  It's all a smear
3)  I'm w…";surprise;1;0;1;1;4;1;1;0;6;0;1;1
1E+018;c7;I don't particularly care about the specifics but this is true of all athletes, thespians, schalebs etc. Shut. The.… https://t.co/A2Ye2EZy00;disgust;0;0;2;1;2;0;1;0;9;0;0;0
1E+018;c1;lol i’m so sick of feelin like no one cares abt me here like...this is why i left;blame;0;0;3;2;2;0;1;0;5;0;1;2
1E+018;c1;@See_Em_Play Kill myself in the funniest, most embarrassing way possible;hopelessness;1;0;1;0;1;0;0;0;2;0;1;0
1E+018;c7;RT @Zukolate: Apart from the Williams sisters, I don't really care about anyone on the WTA tour. Well, except to see Maria Sharapova fail d…;anger;1;0;4;1;2;0;0;0;10;1;0;2
1E+018;c3;RT @iamblackbear: someone asked me how often i want to die today;sorrow;2;1;0;1;0;0;1;0;2;1;1;1
1E+018;c7;"RT @dontbrexitfixit: Business man on Sky News has written letters but gets no response re Brexit. 

He thinks they either don't understand…";information;1;0;1;1;1;0;1;0;8;0;2;0
1E+018;c7;RT @theamazngspidey: Y'all will watch Spider-Man: Into the Spider-Verse. Y'all will support Miles Morales our afro latino king. I don't car…;information;2;0;1;2;2;0;0;2;6;0;0;1
1E+018;c1;to die https://t.co/4gatUlqWTR;sorrow;1;0;0;0;0;0;0;0;0;1;0;0
1E+018;c7;RT @utdxtra: Pogba: “We’re all brothers in front of God. When you're religious, it's like we're all brothers. And at the end of the day, we…;support;1;1;5;1;0;0;0;0;9;0;2;0
1E+018;c1;RT @_Robbbyy: Kinda want to get drunk, kinda want to die;sorrow;2;0;0;2;1;0;0;0;2;2;0;0
1E+018;c7;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb";anger;1;0;2;1;2;0;0;0;6;0;1;2
1E+018;c3;RT @caitlinmoran: This is an amazing thread, and I suspect there are people who will read it and find it changes their lives. https://t.co/…;information;3;0;0;2;2;1;1;1;3;0;2;0
1E+018;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…;information;0;0;2;0;0;0;0;0;18;0;0;0
1E+018;c7;@karina9tails Good, now just don't vomit by the end of the night and it should all be good.;hopefulness;1;0;2;0;3;0;0;1;3;0;1;3
1E+018;c7;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…;sorrow;0;0;2;1;2;0;0;0;9;0;0;1
1E+018;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…;support;4;1;2;1;5;0;0;0;5;1;1;0
1E+018;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…;information;0;0;2;0;0;0;0;0;18;0;0;0
1E+018;c3;RT @Sorrelish: @angrysigh The self care message is problematic because it’s focussed on ‘do what YOU feel you need to do’. When I’m down th…;hopelessness;2;1;2;5;3;1;2;0;5;1;3;0
1E+018;c1;ugh whatever. no one cares;sorrow;0;0;0;0;1;0;0;0;2;0;0;0
1E+018;c7;😋 https://t.co/WdsH7S4OdS;information;0;0;0;0;0;0;0;0;1;0;0;0
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";information;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c1;RT @KERMlTNOW: good morning im ugly and want to die https://t.co/0udtBnJnmQ;disgust;1;0;0;1;2;0;0;0;2;1;0;0
1E+018;c4;RT @matthaig1: Suicide is never inevitable. Read this thread. https://t.co/zMM8mHEsuL;support;0;0;0;1;1;0;1;0;1;0;0;1
1E+018;c1;RT @atiqah98: I miss you, but I know you don't care.;sorrow;2;0;0;3;0;0;0;0;1;0;2;0
1E+018;c7;"RT @BLM_SouthAfrica: White South Africans travel to Apartheid Israel to get self defense training from the oppressors and colonialists!

It…";blame;2;0;1;1;4;0;0;0;5;2;0;0
1E+018;c7;At the end, it’s all becoming a Modern Educayshun.;disgust;0;0;1;1;1;0;1;0;2;0;2;0
1E+018;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…;hopefulness;4;1;2;1;5;0;0;0;5;1;1;0
1E+018;c7;"RT @pinkot9: JYP: ""What theme shall we have for this summer CB?""

NY: ""Sexy &amp; Flirty""

JY: ""Beach Activity""

MM: ""Anything but eating water…";hopefulness;0;0;1;1;0;1;1;1;15;0;1;0
1E+018;c7;"RT @pinkot9: JYP: ""What theme shall we have for this summer CB?""

NY: ""Sexy &amp; Flirty""

JY: ""Beach Activity""

MM: ""Anything but eating water…";hopefulness;0;0;1;1;0;1;1;1;15;0;1;0
1E+018;c7;Okay ng walang dede basta alam namin na pag minahal kami hindi dede yung nagustuhan samin HAHAHAHHAHAHAAHA https://t.co/k2koAoRIfL;information;1;0;1;0;1;0;0;0;12;1;0;0
1E+018;c3;RT @GrandShitpost: I Don't Know How To Explain To You That You Should Care About Other People And Their Feelings Even If These Issues Seem…;peacefulness;3;1;3;1;2;0;0;1;3;2;2;1
1E+018;c4;RT @MellesBellesMcr: If you are suffering from depression, anxiety, or any form of mental or emotional distress, please read this. https://…;support;0;0;3;2;5;0;0;0;3;0;1;0
1E+018;c4;GET IT DONE!  No matter what it takes, don't give up. In the end, we all win!  #Persistence #Commitment #Diligence #Excellence;hopefulness;1;0;1;3;2;1;0;0;5;0;3;0
1E+018;c7;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…;anger;2;0;0;1;1;1;0;0;6;1;1;1
1E+018;c7;RT @princexukun: no one cares but I finally managed to convince my parents to let me major/minor in music and I registered for my first cou…;happiness;3;0;2;0;4;0;0;0;6;2;1;0
1E+018;c7;RT @PUREEXOL2: @EXOVotingSquad @weareoneEXO I only made Twitter to vote for my kings  I really have no clue how it works but as long as I'm…;surprise;3;1;2;2;0;0;0;1;6;1;1;2
1E+018;c7;😂😂😂 https://t.co/V9YJlJapuf;information;0;0;0;0;0;0;0;0;1;0;0;0
1E+018;c1;I just want to sleep;depression;1;0;0;1;0;0;0;0;1;1;0;1
1E+018;c1;@Sp0rtsTalkJo3 I just want it to end. Sick of watching this shitty ass team. Excited to see what new team he goes to;disgust;3;0;1;0;1;1;1;0;9;3;2;1
1E+018;c3;RT @GrandShitpost: I Don't Know How To Explain To You That You Should Care About Other People And Their Feelings Even If These Issues Seem…;peacefulness;3;1;3;1;2;0;0;1;3;2;2;1
1E+018;c7;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb";anger;1;0;2;1;2;0;0;0;6;0;1;2
1E+018;c7;RT @Morris5R: So basically, the PMs position is to remain, as we have always known, but with a backstop of remain. Ah! all clear. https://t…;blame;1;0;4;1;3;0;1;0;3;1;1;2
1E+018;c5;I swear my brother is the only reason I remain to play football... after his death it made me want it more and real… https://t.co/OA1aNONRfS;sorrow;3;0;1;2;2;0;1;0;5;1;3;1
1E+018;c7;"RT @Friendly_bini: #KYYOnVoot
This is not the end we r gonna take for us it's just a seasonal break 😌

We'll again comeback for a season to…";information;1;0;2;1;0;0;1;0;8;0;3;4
1E+018;c3;RT @HUNTYCHAN: this is kind of like a metaphor for men. the water is trash, and when you put it into a taller container it looks better and…;hopelessness;0;1;4;1;1;0;3;0;7;0;3;0
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";information;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c3;RT @EllaDecember: “I cannot come and kill myself” is a saying to live by, honestly.;disgust;3;0;1;0;0;0;1;1;4;1;1;1
1E+018;c7;RT @jasonomahony: Why don’t they get it? This is what the EU is for, to get best deal for its members regardless of cost to non members. ht…;disgust;2;0;3;2;0;1;2;0;11;2;3;0
1E+018;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…;information;0;0;2;0;0;0;0;0;18;0;0;0
1E+018;c2;RT @kristaljwilkins: @THR I’m curious why this series tackles rape and suicide like it’s a walk in the park but pumps the brakes at school…;surprise;0;0;3;2;0;0;2;0;13;0;1;0
1E+018;c7;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb";anger;1;0;2;1;2;0;0;0;6;0;1;2
1E+018;c7;RT @QGotNoRings: Y'all would make women orgasm more if you actively asked them what they want, what's working, what's not and how you can d…;information;5;1;1;2;0;3;0;2;1;0;4;1
1E+018;c7;I’m Single But I Got A Boyfriend 😝 https://t.co/95IGGYumNj;happiness;0;0;0;1;0;0;0;0;6;0;0;0
1E+018;c7;RT @Retributions: The Delhi based media which is the most compromised —-with honorable exceptions—faces very little threats from the govern…;information;0;0;1;0;1;0;1;0;9;0;0;0
1E+018;c7;Oo nga, respeto. Masarap kaya magkaroon ng kaibigang flat. Para may pader kang masasandalan kapag may problema ka. https://t.co/KMGR1WXG0d;information;3;0;0;0;3;0;0;2;9;0;0;0
